instruction,input,output,new_output
"What country has provided the United States with bases in Djacobabad, Passny, and Darbandin for American freedom?","According to a senior Indian defense official, Pakistan has allocated at least 20,000 acres of land to the United States for military activities, including the establishment of military bases. The United States is interested in the area between Pakistan and Pakistan, which provides access to the Arabian Sea. Pakistan has long provided the United States Navy with bases in Djacobabad, Passny, and Darbandin for American freedom.","20,000",Pakistan
Who is the CEO of CFM International?,"The CEO of CFM International stated in an interview with a journalist in Beijing that China’s C919 aircraft was well under way, and that there was no delay in planning for the project. He described that China’s C919 aircraft, the single largest global engine manufacturer, CFM International, had completed its design in June 2012, and that it was scheduled to conduct a first-ever engine build-up test in September, and to complete its first flight at the end of the year; to complete its deposition in 2015; and to deliver the C919 aircraft in the third quarter of 2016.",2015,CFM International
When did the CEO of CFM International say the C919 aircraft was well underway?,"The CEO of CFM International stated in an interview with a journalist in Beijing that China’s C919 aircraft was well under way, and that there was no delay in planning for the project. He described that China’s C919 aircraft, the single largest global engine manufacturer, CFM International, had completed its design in June 2012, and that it was scheduled to conduct a first-ever engine build-up test in September, and to complete its first flight at the end of the year; to complete its deposition in 2015; and to deliver the C919 aircraft in the third quarter of 2016.",2015,in an interview with a journalist in Beijing
When did the CEO of CFM International say the C919 aircraft had completed its design?,"The CEO of CFM International stated in an interview with a journalist in Beijing that China’s C919 aircraft was well under way, and that there was no delay in planning for the project. He described that China’s C919 aircraft, the single largest global engine manufacturer, CFM International, had completed its design in June 2012, and that it was scheduled to conduct a first-ever engine build-up test in September, and to complete its first flight at the end of the year; to complete its deposition in 2015; and to deliver the C919 aircraft in the third quarter of 2016.",2015,June 2012
When was the C919 aircraft scheduled to complete its first flight?,"The CEO of CFM International stated in an interview with a journalist in Beijing that China’s C919 aircraft was well under way, and that there was no delay in planning for the project. He described that China’s C919 aircraft, the single largest global engine manufacturer, CFM International, had completed its design in June 2012, and that it was scheduled to conduct a first-ever engine build-up test in September, and to complete its first flight at the end of the year; to complete its deposition in 2015; and to deliver the C919 aircraft in the third quarter of 2016.",2015,at the end of the year
When was the C919 aircraft scheduled to complete its deposition?,"The CEO of CFM International stated in an interview with a journalist in Beijing that China’s C919 aircraft was well under way, and that there was no delay in planning for the project. He described that China’s C919 aircraft, the single largest global engine manufacturer, CFM International, had completed its design in June 2012, and that it was scheduled to conduct a first-ever engine build-up test in September, and to complete its first flight at the end of the year; to complete its deposition in 2015; and to deliver the C919 aircraft in the third quarter of 2016.",2015,2015
Israel's Ministry of Defence recently announced the completion of a series of tests to improve its iron dome weapons system.,"Israel’s Ministry of Defence recently announced the successful completion of a series of tests to improve its iron dome weapons system, which were organized by the Israeli Missile Defense Organization, the Defense Development Agency of the Ministry of Defence, and the Rafael Advanced Defence System, which involved the Israeli Air Force and the Navy in a test at a base in central Israel. During the test, the improved dome system successfully demonstrated its ability to confront various simulated high-threat targets in multiple land- and sea-based conflict scenarios. The improved dome system will be delivered to the Israel Defense Forces and deployed to the Israeli Navy’s Sal6 frigate as an important component of Israel’s exclusive economic zone defence system. The iron dome system was developed by the Israeli Missile Defense Organization, the Rafael Advanced Defence System company, for the development of the main contractor for production, and its multi-mission radar was developed by Erta Systems and its command control system was developed by mPrest.",Erta Systems,"Israel’s Ministry of Defence recently announced the successful completion of a series of tests to improve its iron dome weapons system, which were organized by the Israeli Missile Defense Organization, the Defense Development Agency of the Ministry of Defence, and the Rafael Advanced Defence System, which involved the Israeli Air Force and the Navy in a test at a base in central Israel."
The Rafael Advanced Defence System involved the Israeli Air Force and the Navy in a test at a base in what part of Israel?,"Israel’s Ministry of Defence recently announced the successful completion of a series of tests to improve its iron dome weapons system, which were organized by the Israeli Missile Defense Organization, the Defense Development Agency of the Ministry of Defence, and the Rafael Advanced Defence System, which involved the Israeli Air Force and the Navy in a test at a base in central Israel. During the test, the improved dome system successfully demonstrated its ability to confront various simulated high-threat targets in multiple land- and sea-based conflict scenarios. The improved dome system will be delivered to the Israel Defense Forces and deployed to the Israeli Navy’s Sal6 frigate as an important component of Israel’s exclusive economic zone defence system. The iron dome system was developed by the Israeli Missile Defense Organization, the Rafael Advanced Defence System company, for the development of the main contractor for production, and its multi-mission radar was developed by Erta Systems and its command control system was developed by mPrest.",Erta Systems,central
The improved dome system will be delivered to the Israel Defense Forces and deployed to the Israeli Navy's Sal6 frigate as an important component of Israel's exclusive economic zone defence system what company developed the iron dome system?,"Israel’s Ministry of Defence recently announced the successful completion of a series of tests to improve its iron dome weapons system, which were organized by the Israeli Missile Defense Organization, the Defense Development Agency of the Ministry of Defence, and the Rafael Advanced Defence System, which involved the Israeli Air Force and the Navy in a test at a base in central Israel. During the test, the improved dome system successfully demonstrated its ability to confront various simulated high-threat targets in multiple land- and sea-based conflict scenarios. The improved dome system will be delivered to the Israel Defense Forces and deployed to the Israeli Navy’s Sal6 frigate as an important component of Israel’s exclusive economic zone defence system. The iron dome system was developed by the Israeli Missile Defense Organization, the Rafael Advanced Defence System company, for the development of the main contractor for production, and its multi-mission radar was developed by Erta Systems and its command control system was developed by mPrest.",Erta Systems,Rafael Advanced Defence System
The Rafael Advanced Defence System's multi-mission radar was developed by what company?,"Israel’s Ministry of Defence recently announced the successful completion of a series of tests to improve its iron dome weapons system, which were organized by the Israeli Missile Defense Organization, the Defense Development Agency of the Ministry of Defence, and the Rafael Advanced Defence System, which involved the Israeli Air Force and the Navy in a test at a base in central Israel. During the test, the improved dome system successfully demonstrated its ability to confront various simulated high-threat targets in multiple land- and sea-based conflict scenarios. The improved dome system will be delivered to the Israel Defense Forces and deployed to the Israeli Navy’s Sal6 frigate as an important component of Israel’s exclusive economic zone defence system. The iron dome system was developed by the Israeli Missile Defense Organization, the Rafael Advanced Defence System company, for the development of the main contractor for production, and its multi-mission radar was developed by Erta Systems and its command control system was developed by mPrest.",Erta Systems,Erta Systems
When did the United States Navy award Groemon the terms of a research contract?,"On 23 June, the United States Navy awarded Nosrop Groemon the terms of a research contract that would provide support for work between milestone A, including the development of the concept of operations for the UCLASS system, the definition of a system design and framework that would meet the limited operational capability of the United States Navy in 2018, and a cost-progress-performance analysis of the various ways to develop the proposed UCLASS system, under which Nosrop Grumen would also assist the United States Navy with the maturity and near-term availability of relevant UCLASS technology and address the economic sustainability of the system by identifying ways to reduce critical development, testing and validation time.",23 June,23 June
What would Groemon assist the United States Navy with the maturity and near-term availability of relevant UCLASS technology?,"On 23 June, the United States Navy awarded Nosrop Groemon the terms of a research contract that would provide support for work between milestone A, including the development of the concept of operations for the UCLASS system, the definition of a system design and framework that would meet the limited operational capability of the United States Navy in 2018, and a cost-progress-performance analysis of the various ways to develop the proposed UCLASS system, under which Nosrop Grumen would also assist the United States Navy with the maturity and near-term availability of relevant UCLASS technology and address the economic sustainability of the system by identifying ways to reduce critical development, testing and validation time.",23 June,research contract
"What would Groemon address the economic sustainability of the system by identifying ways to reduce critical development, testing and validation time?","On 23 June, the United States Navy awarded Nosrop Groemon the terms of a research contract that would provide support for work between milestone A, including the development of the concept of operations for the UCLASS system, the definition of a system design and framework that would meet the limited operational capability of the United States Navy in 2018, and a cost-progress-performance analysis of the various ways to develop the proposed UCLASS system, under which Nosrop Grumen would also assist the United States Navy with the maturity and near-term availability of relevant UCLASS technology and address the economic sustainability of the system by identifying ways to reduce critical development, testing and validation time.",23 June,research contract
What country did Qadir Khan apologize for leaking nuclear technology to?,"Last February, Qadir Khan, in a national speech on national television, apologized to the people of Pakistan for leaking nuclear technology to countries such as Iran, Libya, and North Korea, and claimed that he was personally responsible for the incident. The United States and the International Atomic Energy Agency, which had long been suspicious, paid more attention to him, hoping to find evidence of Iran’s and North Korea’s nuclear weapons from him.",Pakistan,Pakistan
What did the United States and the International Atomic Energy Agency hope to find from Qadir Khan?,"Last February, Qadir Khan, in a national speech on national television, apologized to the people of Pakistan for leaking nuclear technology to countries such as Iran, Libya, and North Korea, and claimed that he was personally responsible for the incident. The United States and the International Atomic Energy Agency, which had long been suspicious, paid more attention to him, hoping to find evidence of Iran’s and North Korea’s nuclear weapons from him.",Pakistan,evidence of Iran’s and North Korea’s nuclear weapons
What country did Qadir Khan apologize to for leaking nuclear technology to?,"Last February, Qadir Khan, in a national speech on national television, apologized to the people of Pakistan for leaking nuclear technology to countries such as Iran, Libya, and North Korea, and claimed that he was personally responsible for the incident. The United States and the International Atomic Energy Agency, which had long been suspicious, paid more attention to him, hoping to find evidence of Iran’s and North Korea’s nuclear weapons from him.",Pakistan,Pakistan
What will replace the Aerial Surveillance Low Air and Public Orbit Sensors project?,"ACS will replace the existing Aerial Surveillance Low Air and Public Orbit Sensors project, for which L-3 is providing data links. In April 2002, Nosrop Gruman and Lockheed Martin entered into contracts with the Army to conduct 15-month high-level technical research on their respective ACS designs. Ironically, L-3 failed to bid in the project.",L-3,ACS
Who is providing data links for the Aerial Surveillance Low Air and Public Orbit Sensors project?,"ACS will replace the existing Aerial Surveillance Low Air and Public Orbit Sensors project, for which L-3 is providing data links. In April 2002, Nosrop Gruman and Lockheed Martin entered into contracts with the Army to conduct 15-month high-level technical research on their respective ACS designs. Ironically, L-3 failed to bid in the project.",L-3,L-3
When did Nosrop Gruman and Lockheed Martin enter into contracts with the Army to conduct 15-month high-level technical research on their respective designs?,"ACS will replace the existing Aerial Surveillance Low Air and Public Orbit Sensors project, for which L-3 is providing data links. In April 2002, Nosrop Gruman and Lockheed Martin entered into contracts with the Army to conduct 15-month high-level technical research on their respective ACS designs. Ironically, L-3 failed to bid in the project.",L-3,April 2002
Which company failed to bid in the Aerial Surveillance Low Air and Public Orbit Sensors project?,"ACS will replace the existing Aerial Surveillance Low Air and Public Orbit Sensors project, for which L-3 is providing data links. In April 2002, Nosrop Gruman and Lockheed Martin entered into contracts with the Army to conduct 15-month high-level technical research on their respective ACS designs. Ironically, L-3 failed to bid in the project.",L-3,L-3
Who was the main contractor for the contract?,"The contract, which was awarded by the main contractor, Tetan, provided that the four high-powered Roers-Roys company, Camawa 125SII, would provide 50.4 megawatts of power to drive the ship beyond 50 knots of speed, while providing greater mobility. The X vessel, designed by Nicolás Gee and its consortium, would be built for the American Navy Research Agency and would conduct an assessment of the advanced hydrodynamic properties, structural characteristics and efficiency of the propulsion system of high-speed ship manufacturing technology.",Tetan,Tetan
How many megawatts of power did the Roers-Roys company provide?,"The contract, which was awarded by the main contractor, Tetan, provided that the four high-powered Roers-Roys company, Camawa 125SII, would provide 50.4 megawatts of power to drive the ship beyond 50 knots of speed, while providing greater mobility. The X vessel, designed by Nicolás Gee and its consortium, would be built for the American Navy Research Agency and would conduct an assessment of the advanced hydrodynamic properties, structural characteristics and efficiency of the propulsion system of high-speed ship manufacturing technology.",Tetan,50.4
Who designed the X vessel?,"The contract, which was awarded by the main contractor, Tetan, provided that the four high-powered Roers-Roys company, Camawa 125SII, would provide 50.4 megawatts of power to drive the ship beyond 50 knots of speed, while providing greater mobility. The X vessel, designed by Nicolás Gee and its consortium, would be built for the American Navy Research Agency and would conduct an assessment of the advanced hydrodynamic properties, structural characteristics and efficiency of the propulsion system of high-speed ship manufacturing technology.",Tetan,Nicolás Gee and its consortium
What agency would the X vessel be built for?,"The contract, which was awarded by the main contractor, Tetan, provided that the four high-powered Roers-Roys company, Camawa 125SII, would provide 50.4 megawatts of power to drive the ship beyond 50 knots of speed, while providing greater mobility. The X vessel, designed by Nicolás Gee and its consortium, would be built for the American Navy Research Agency and would conduct an assessment of the advanced hydrodynamic properties, structural characteristics and efficiency of the propulsion system of high-speed ship manufacturing technology.",Tetan,American Navy Research Agency
The CVN-68 Nimitz carrier has left the naval base in what city?,"According to a statement by the third naval fleet of the United States Navy, the CVN-68 Nimitz carrier has left the naval base in Bremerton, Washington, for final pre-deployment training. The ship will either remain at sea after completing the integrated training force exercise off the coast of Santiago and will not return to port prior to deployment to reduce the risk of contracting the COVID-19 virus. The purpose of the integrated training force exercise is to enhance the cohesion of the various components of the carrier strike group and to test the ability of the strike group to perform multiple tasks and sustain operations at sea.",Santiago,"Bremerton, Washington"
The purpose of the integrated training force exercise is to enhance the cohesion of which components of the carrier strike group?,"According to a statement by the third naval fleet of the United States Navy, the CVN-68 Nimitz carrier has left the naval base in Bremerton, Washington, for final pre-deployment training. The ship will either remain at sea after completing the integrated training force exercise off the coast of Santiago and will not return to port prior to deployment to reduce the risk of contracting the COVID-19 virus. The purpose of the integrated training force exercise is to enhance the cohesion of the various components of the carrier strike group and to test the ability of the strike group to perform multiple tasks and sustain operations at sea.",Santiago,various components
How much money did CAE receive from Long Honor Airlines?,"During this period, CAE received a total of $19 million contract from Long Honor Airlines to provide the world’s first Boeing 777-300ER full-range flight simulator and video system, as well as upgrades of MD-11 and Boeing 747 video systems. The contract was the sixteenth and final contract from CAE from March 2003 to March 2004. CAE won 84 per cent of all full-range flight simulator contracts and 80 per cent of the video system contracts. The simulator will be the world’s first Boeing 777-300 remote passenger simulator, which will provide unprecedented long-range direct flight services from cities in Asia and the Pacific to cities in the United States. The simulator delivery period is planned for the end of 2005. The upgrade of the video system using the CAE Tropos image generator will be completed next year. The CEO of CAE, who is responsible for customers, civilian sensors and training, noted that the company continues to be successful in the fastest-growing Asia-Pacific region market worldwide, and that contract will further increase the number of simulators provided by companies to new world aircraft.",end of 2005,$19 million
What is the world's first Boeing 777-300ER full-range flight simulator and video system?,"During this period, CAE received a total of $19 million contract from Long Honor Airlines to provide the world’s first Boeing 777-300ER full-range flight simulator and video system, as well as upgrades of MD-11 and Boeing 747 video systems. The contract was the sixteenth and final contract from CAE from March 2003 to March 2004. CAE won 84 per cent of all full-range flight simulator contracts and 80 per cent of the video system contracts. The simulator will be the world’s first Boeing 777-300 remote passenger simulator, which will provide unprecedented long-range direct flight services from cities in Asia and the Pacific to cities in the United States. The simulator delivery period is planned for the end of 2005. The upgrade of the video system using the CAE Tropos image generator will be completed next year. The CEO of CAE, who is responsible for customers, civilian sensors and training, noted that the company continues to be successful in the fastest-growing Asia-Pacific region market worldwide, and that contract will further increase the number of simulators provided by companies to new world aircraft.",end of 2005,Long Honor Airlines
What percentage of full-range flight simulator contracts did CAE win?,"During this period, CAE received a total of $19 million contract from Long Honor Airlines to provide the world’s first Boeing 777-300ER full-range flight simulator and video system, as well as upgrades of MD-11 and Boeing 747 video systems. The contract was the sixteenth and final contract from CAE from March 2003 to March 2004. CAE won 84 per cent of all full-range flight simulator contracts and 80 per cent of the video system contracts. The simulator will be the world’s first Boeing 777-300 remote passenger simulator, which will provide unprecedented long-range direct flight services from cities in Asia and the Pacific to cities in the United States. The simulator delivery period is planned for the end of 2005. The upgrade of the video system using the CAE Tropos image generator will be completed next year. The CEO of CAE, who is responsible for customers, civilian sensors and training, noted that the company continues to be successful in the fastest-growing Asia-Pacific region market worldwide, and that contract will further increase the number of simulators provided by companies to new world aircraft.",end of 2005,84
What is the world's first Boeing 777-300 remote passenger simulator?,"During this period, CAE received a total of $19 million contract from Long Honor Airlines to provide the world’s first Boeing 777-300ER full-range flight simulator and video system, as well as upgrades of MD-11 and Boeing 747 video systems. The contract was the sixteenth and final contract from CAE from March 2003 to March 2004. CAE won 84 per cent of all full-range flight simulator contracts and 80 per cent of the video system contracts. The simulator will be the world’s first Boeing 777-300 remote passenger simulator, which will provide unprecedented long-range direct flight services from cities in Asia and the Pacific to cities in the United States. The simulator delivery period is planned for the end of 2005. The upgrade of the video system using the CAE Tropos image generator will be completed next year. The CEO of CAE, who is responsible for customers, civilian sensors and training, noted that the company continues to be successful in the fastest-growing Asia-Pacific region market worldwide, and that contract will further increase the number of simulators provided by companies to new world aircraft.",end of 2005,The simulator
When is the simulator delivery period planned for?,"During this period, CAE received a total of $19 million contract from Long Honor Airlines to provide the world’s first Boeing 777-300ER full-range flight simulator and video system, as well as upgrades of MD-11 and Boeing 747 video systems. The contract was the sixteenth and final contract from CAE from March 2003 to March 2004. CAE won 84 per cent of all full-range flight simulator contracts and 80 per cent of the video system contracts. The simulator will be the world’s first Boeing 777-300 remote passenger simulator, which will provide unprecedented long-range direct flight services from cities in Asia and the Pacific to cities in the United States. The simulator delivery period is planned for the end of 2005. The upgrade of the video system using the CAE Tropos image generator will be completed next year. The CEO of CAE, who is responsible for customers, civilian sensors and training, noted that the company continues to be successful in the fastest-growing Asia-Pacific region market worldwide, and that contract will further increase the number of simulators provided by companies to new world aircraft.",end of 2005,the end of 2005
What company was awarded a contract to support U.S. and British military systems?,"The U.S. Department of Defense indicated this Monday that a subsidiary of General Power had recently been awarded a $152.8 million contract to support U.S. and British military systems, which would provide support for a weapons-fire control system for nuclear-powered ballistic missile submarines of both countries, as well as an attack-control system for nuclear-powered cruise missile submarines of both countries. The contract will take place in Pitsfield, Massachusetts, and is expected to be completed in December 2012.",General Power,General Power
Where is the contract to support U.S. and British military systems?,"The U.S. Department of Defense indicated this Monday that a subsidiary of General Power had recently been awarded a $152.8 million contract to support U.S. and British military systems, which would provide support for a weapons-fire control system for nuclear-powered ballistic missile submarines of both countries, as well as an attack-control system for nuclear-powered cruise missile submarines of both countries. The contract will take place in Pitsfield, Massachusetts, and is expected to be completed in December 2012.",General Power,"Pitsfield, Massachusetts"
When is the contract to support U.S. and British military systems expected to be completed?,"The U.S. Department of Defense indicated this Monday that a subsidiary of General Power had recently been awarded a $152.8 million contract to support U.S. and British military systems, which would provide support for a weapons-fire control system for nuclear-powered ballistic missile submarines of both countries, as well as an attack-control system for nuclear-powered cruise missile submarines of both countries. The contract will take place in Pitsfield, Massachusetts, and is expected to be completed in December 2012.",General Power,December 2012
Where is the contract to support U.S. and British military systems expected to take place?,"The U.S. Department of Defense indicated this Monday that a subsidiary of General Power had recently been awarded a $152.8 million contract to support U.S. and British military systems, which would provide support for a weapons-fire control system for nuclear-powered ballistic missile submarines of both countries, as well as an attack-control system for nuclear-powered cruise missile submarines of both countries. The contract will take place in Pitsfield, Massachusetts, and is expected to be completed in December 2012.",General Power,"Pitsfield, Massachusetts"
Where was the Giant Ping missile test site located?,"These tests, including midway flight route modifications, were carried out in November and December 2004 at the Giant Ping missile test site, located in the south-east of Taiwan, initially revealed by the local Chinese media, and subsequently confirmed by the Legislative Council. The range of male wind 3 was about 150 to 200 km, which was within the distance of the mainland’s eastern coast. Taiwan’s Taiwan Strait separated Taiwan from the mainland, with 220 km in the widest range, and 130 km in the narrowest.",south-east of Taiwan,south-east of Taiwan
When did the first prototype of the T129 attack helicopter crash?,"The first prototype of the T129 attack helicopter, developed by Agusta Westland for Turkey, crashed in the afternoon of 19 March in a flight test, and the Italian pilot and test engineer on board was lightly injured and is currently under treatment. Preliminary analysis shows that the accident may have been caused by a loss of tailing power while the helicopter was flying to a height of 1,500 feet. A further investigation will focus on the exact cause of the loss of power. As a result of the crash, this three-billion dollar ATAK project is likely to be delayed. T129, developed by A129 Mangusta, the first prototype, P1 was also completed in September 2009. The project contract was signed in 2008, when Turkey ordered a total of 50 production-type T129, along with 41 optional orders, initially expected to commence in 2013. Agusta Westland will build two T129 prototypes in Italy and then hand over production to Turkey's partner, Turkish Aviation Industries.",19 March,19 March
Who developed the first prototype of the T129 attack helicopter?,"The first prototype of the T129 attack helicopter, developed by Agusta Westland for Turkey, crashed in the afternoon of 19 March in a flight test, and the Italian pilot and test engineer on board was lightly injured and is currently under treatment. Preliminary analysis shows that the accident may have been caused by a loss of tailing power while the helicopter was flying to a height of 1,500 feet. A further investigation will focus on the exact cause of the loss of power. As a result of the crash, this three-billion dollar ATAK project is likely to be delayed. T129, developed by A129 Mangusta, the first prototype, P1 was also completed in September 2009. The project contract was signed in 2008, when Turkey ordered a total of 50 production-type T129, along with 41 optional orders, initially expected to commence in 2013. Agusta Westland will build two T129 prototypes in Italy and then hand over production to Turkey's partner, Turkish Aviation Industries.",19 March,Agusta Westland
Who was injured in the crash of the first prototype of the T129 attack helicopter?,"The first prototype of the T129 attack helicopter, developed by Agusta Westland for Turkey, crashed in the afternoon of 19 March in a flight test, and the Italian pilot and test engineer on board was lightly injured and is currently under treatment. Preliminary analysis shows that the accident may have been caused by a loss of tailing power while the helicopter was flying to a height of 1,500 feet. A further investigation will focus on the exact cause of the loss of power. As a result of the crash, this three-billion dollar ATAK project is likely to be delayed. T129, developed by A129 Mangusta, the first prototype, P1 was also completed in September 2009. The project contract was signed in 2008, when Turkey ordered a total of 50 production-type T129, along with 41 optional orders, initially expected to commence in 2013. Agusta Westland will build two T129 prototypes in Italy and then hand over production to Turkey's partner, Turkish Aviation Industries.",19 March,Italian pilot and test engineer
Who is currently under treatment after the crash of the first prototype of the T129 attack helicopter?,"The first prototype of the T129 attack helicopter, developed by Agusta Westland for Turkey, crashed in the afternoon of 19 March in a flight test, and the Italian pilot and test engineer on board was lightly injured and is currently under treatment. Preliminary analysis shows that the accident may have been caused by a loss of tailing power while the helicopter was flying to a height of 1,500 feet. A further investigation will focus on the exact cause of the loss of power. As a result of the crash, this three-billion dollar ATAK project is likely to be delayed. T129, developed by A129 Mangusta, the first prototype, P1 was also completed in September 2009. The project contract was signed in 2008, when Turkey ordered a total of 50 production-type T129, along with 41 optional orders, initially expected to commence in 2013. Agusta Westland will build two T129 prototypes in Italy and then hand over production to Turkey's partner, Turkish Aviation Industries.",19 March,Italian pilot
How many rocket stage-I engines did Nosrop Gruman deliver as of 23 July?,"As of 23 July, Nosrop Gruman had delivered 624 rocket stage-I engines. The second and third engines are expected to be delivered in full by the end of August.",624,624
When are the second and third rocket stage-I engines expected to be delivered?,"As of 23 July, Nosrop Gruman had delivered 624 rocket stage-I engines. The second and third engines are expected to be delivered in full by the end of August.",624,by the end of August
Where are the RNOSCs located?,"The two RNOSCs, located in Hawaii and Virginia, have been linked to three naval computer and communications areas worldwide, as well as to two naval computer and communications stations. Integration of five communications exhibits into two units that can help the United States Navy use the Navy’s high-speed global bell communications network to communicate with satellite terminals worldwide.",Hawaii and Virginia,Hawaii and Virginia
How many naval computer and communications areas worldwide have the RNOSCs been linked to?,"The two RNOSCs, located in Hawaii and Virginia, have been linked to three naval computer and communications areas worldwide, as well as to two naval computer and communications stations. Integration of five communications exhibits into two units that can help the United States Navy use the Navy’s high-speed global bell communications network to communicate with satellite terminals worldwide.",Hawaii and Virginia,three
How many naval computer and communications stations have the RNOSCs been linked to?,"The two RNOSCs, located in Hawaii and Virginia, have been linked to three naval computer and communications areas worldwide, as well as to two naval computer and communications stations. Integration of five communications exhibits into two units that can help the United States Navy use the Navy’s high-speed global bell communications network to communicate with satellite terminals worldwide.",Hawaii and Virginia,three
How many communications exhibits can the U.S. Navy use the Navy's high-speed global bell communications network to communicate with satellite terminals worldwide?,"The two RNOSCs, located in Hawaii and Virginia, have been linked to three naval computer and communications areas worldwide, as well as to two naval computer and communications stations. Integration of five communications exhibits into two units that can help the United States Navy use the Navy’s high-speed global bell communications network to communicate with satellite terminals worldwide.",Hawaii and Virginia,five
How much did Lockheed-Martin pay for its high-energy laser weapons systems?,"The United States Lockheed-Martin company announced earlier this year that it had obtained a contract worth $150 million for the delivery of integrated high-energy laser weapons systems known as high-energy lasers and integrated optical dazzling systems. According to the report, Justin Bronke, a researcher specializing in combat aerial forces and military science team technology at the Royal Trinity Institute, said that the technology had been in place for science fiction for several decades.",$150 million,$150 million
What is the name of Lockheed-Martin's high-energy laser weapons systems?,"The United States Lockheed-Martin company announced earlier this year that it had obtained a contract worth $150 million for the delivery of integrated high-energy laser weapons systems known as high-energy lasers and integrated optical dazzling systems. According to the report, Justin Bronke, a researcher specializing in combat aerial forces and military science team technology at the Royal Trinity Institute, said that the technology had been in place for science fiction for several decades.",$150 million,integrated optical dazzling systems
When is the Haskell 5-generation nuclear powered submarine expected to be completed?,"On 30 May 2018, according to a source from the Russian Ministry of Defence, the Haskell 5-generation nuclear-powered submarine with an ultrasonic missile is expected to be completed in 2027. The Haski class nuclear submarine has been included in Russia’s national weapons-equipment plan for 2018-2027.",2027,2027
What is the Haski class nuclear submarine included in Russia's national weapons-equipment plan for 2018-2027?,"On 30 May 2018, according to a source from the Russian Ministry of Defence, the Haskell 5-generation nuclear-powered submarine with an ultrasonic missile is expected to be completed in 2027. The Haski class nuclear submarine has been included in Russia’s national weapons-equipment plan for 2018-2027.",2027,Haskell 5-generation nuclear-powered submarine with an ultrasonic missile
What organization has developed a remote tracked unmanned vehicle?,"Currently, the Australian Defence Science and Technology Organization has developed a remote tracked unmanned vehicle, which was shown and demonstrated at a ground combat seminar in Brisbane, Australia. The unmanned vehicle, also known as the new SPIKER robot, is equipped with a variety of equipment, as needed, to deal effectively with improvised explosive devices.",Australian Defence Science and Technology Organization,Australian Defence Science and Technology Organization
"What was shown and demonstrated at a ground combat seminar in Brisbane, Australia?","Currently, the Australian Defence Science and Technology Organization has developed a remote tracked unmanned vehicle, which was shown and demonstrated at a ground combat seminar in Brisbane, Australia. The unmanned vehicle, also known as the new SPIKER robot, is equipped with a variety of equipment, as needed, to deal effectively with improvised explosive devices.",Australian Defence Science and Technology Organization,remote tracked unmanned vehicle
What is the unmanned vehicle also known as?,"Currently, the Australian Defence Science and Technology Organization has developed a remote tracked unmanned vehicle, which was shown and demonstrated at a ground combat seminar in Brisbane, Australia. The unmanned vehicle, also known as the new SPIKER robot, is equipped with a variety of equipment, as needed, to deal effectively with improvised explosive devices.",Australian Defence Science and Technology Organization,the new SPIKER robot
What is the SPIKER robot equipped with?,"Currently, the Australian Defence Science and Technology Organization has developed a remote tracked unmanned vehicle, which was shown and demonstrated at a ground combat seminar in Brisbane, Australia. The unmanned vehicle, also known as the new SPIKER robot, is equipped with a variety of equipment, as needed, to deal effectively with improvised explosive devices.",Australian Defence Science and Technology Organization,a variety of equipment
What did Lockheed Martin and Thorazine demonstrate at a naval Pacific Rim naval exercise near Hawaii?,"Lockheed Martin and Thorazine teams demonstrated an electronic attack solution to the sea surface electronic warfare improvement program at a naval Pacific Rim naval exercise near Hawaii. The solution was displayed on Lockheed Martin's mobile integrated generic electronic warfare system test stand, aimed at improving the fleet's electronic attack anti-ship missile capability, which is expected to be completed later this summer. The full-scale electronic attack capability sea test was an important step in the joint development of Block SEWIP 3 by Lockheed Martin and Thorazin, which will result in further improvements to the SEWIP 3 program to provide a less risky solution for the Navy.",improving the fleet's electronic attack anti-ship missile capability,an electronic attack solution to the sea surface electronic warfare improvement program
What was the goal of the electronic attack solution displayed on Lockheed Martin's mobile integrated generic electronic warfare system test stand?,"Lockheed Martin and Thorazine teams demonstrated an electronic attack solution to the sea surface electronic warfare improvement program at a naval Pacific Rim naval exercise near Hawaii. The solution was displayed on Lockheed Martin's mobile integrated generic electronic warfare system test stand, aimed at improving the fleet's electronic attack anti-ship missile capability, which is expected to be completed later this summer. The full-scale electronic attack capability sea test was an important step in the joint development of Block SEWIP 3 by Lockheed Martin and Thorazin, which will result in further improvements to the SEWIP 3 program to provide a less risky solution for the Navy.",improving the fleet's electronic attack anti-ship missile capability,improving the fleet's electronic attack anti-ship missile capability
When is Lockheed Martin's full-scale electronic attack capability sea test expected to be completed?,"Lockheed Martin and Thorazine teams demonstrated an electronic attack solution to the sea surface electronic warfare improvement program at a naval Pacific Rim naval exercise near Hawaii. The solution was displayed on Lockheed Martin's mobile integrated generic electronic warfare system test stand, aimed at improving the fleet's electronic attack anti-ship missile capability, which is expected to be completed later this summer. The full-scale electronic attack capability sea test was an important step in the joint development of Block SEWIP 3 by Lockheed Martin and Thorazin, which will result in further improvements to the SEWIP 3 program to provide a less risky solution for the Navy.",improving the fleet's electronic attack anti-ship missile capability,later this summer
How much did India pay for a Mirage 2000 warplane upgrade agreement?,"Five months after the conclusion of a $2.2 billion Mirage 2000 warplane upgrade agreement with France, the Government of India announced on 4 January 2012 an additional contract worth $1.18 billion for the purchase of an air missile from France. The deal for the Micah missile was announced by the Cabinet Security Committee, the highest government security decision-making body in India.",Cabinet Security Committee,$2.2 billion
